,TSLA_Forecast,lower,upper
2025-07-31,319.03915348228225,305.5008929691944,332.5774139953701
2025-08-01,319.0204441795968,300.0162558238522,338.02463253534137
2025-08-04,319.0204441795968,295.74003620790484,342.3008521512887
2025-08-05,319.0204441795968,292.1355856976145,345.90530266157907
2025-08-06,319.0204441795968,288.9602739228598,349.08061443633375
2025-08-07,319.0204441795968,286.08972818173527,351.9511601774583
2025-08-08,319.0204441795968,283.4500874706796,354.59080088851397
2025-08-11,319.0204441795968,280.99323685816165,357.0476515010319
2025-08-12,319.0204441795968,278.6857603834492,359.3551279757444
2025-08-13,319.0204441795968,276.50333071686265,361.5375576423309
2025-08-14,319.0204441795968,274.42758424136446,363.6133041178291
2025-08-15,319.0204441795968,272.44425522280676,365.5966331363868
2025-08-18,319.0204441795968,270.5419995056347,367.49888885355887
2025-08-19,319.0204441795968,268.7116197223089,369.32926863688465
2025-08-20,319.0204441795968,266.9455362244021,371.0953521347915
2025-08-21,319.0204441795968,265.23741471109435,372.8034736480992
2025-08-22,319.0204441795968,263.5818973094127,374.4589910497809
2025-08-25,319.0204441795968,261.97440400724656,376.066484351947
2025-08-26,319.0204441795968,260.410983171896,377.62990518729754
2025-08-27,319.0204441795968,258.88819709135805,379.1526912678355
2025-08-28,319.0204441795968,257.40303300265106,380.6378553565425
2025-08-29,319.0204441795968,255.9528329959108,382.08805536328276
2025-09-01,319.0204441795968,254.53523811894758,383.505650240246
2025-09-02,319.0204441795968,253.14814331685028,384.8927450423433
2025-09-03,319.0204441795968,251.78966074507187,386.2512276141217
2025-09-04,319.0204441795968,250.45808962924758,387.582798729946
2025-09-05,319.0204441795968,249.1518912980923,388.88899706110124
2025-09-08,319.0204441795968,247.86966834388724,390.1712200153063
2025-09-09,319.0204441795968,246.6101471059679,391.4307412532256
2025-09-10,319.0204441795968,245.37216285165957,392.66872550753396
2025-09-11,319.0204441795968,244.15464716369115,393.8862411955024
2025-09-12,319.0204441795968,242.95661714535805,395.0842712138355
2025-09-15,319.0204441795968,241.77716613313902,396.26372222605454
2025-09-16,319.0204441795968,240.61545566719292,397.42543269200064
2025-09-17,319.0204441795968,239.47070851757223,398.5701798416213
2025-09-18,319.0204441795968,238.34220260130147,399.6986857578921
2025-09-19,319.0204441795968,237.2292656550543,400.81162270413927
2025-09-22,319.0204441795968,236.13127055178592,401.90961780740764
2025-09-23,319.0204441795968,235.04763116866343,402.99325719053013
2025-09-24,319.0204441795968,233.97779872899372,404.06308963019984
2025-09-25,319.0204441795968,232.9212585533391,405.11962980585446
2025-09-26,319.0204441795968,231.87752716523138,406.16336119396215
2025-09-29,319.0204441795968,230.84614970529788,407.1947386538957
2025-09-30,319.0204441795968,229.82669761455907,408.2141907446345
2025-10-01,319.0204441795968,228.81876655342415,409.2221218057694
2025-10-02,319.0204441795968,227.82197452772283,410.21891383147073
2025-10-03,319.0204441795968,226.8359601971414,411.20492816205217
2025-10-06,319.0204441795968,225.860381344821,412.18050701437255
2025-10-07,319.0204441795968,224.89491348974002,413.14597486945354
2025-10-08,319.0204441795968,223.9392486259282,414.10163973326536
2025-10-09,319.0204441795968,222.9930940746253,415.0477942845682
2025-10-10,319.0204441795968,222.0561714372585,415.98471692193505
2025-10-13,319.0204441795968,221.12821563862235,416.9126727205712
2025-10-14,319.0204441795968,220.20897405094135,417.8319143082522
2025-10-15,319.0204441795968,219.29820569061195,418.7426826685816
2025-10-16,319.0204441795968,218.39568048038723,419.64520787880633
2025-10-17,319.0204441795968,217.50117857060235,420.5397097885912
2025-10-20,319.0204441795968,216.6144897137682,421.42639864542537
2025-10-21,319.0204441795968,215.7354126874916,422.30547567170197
2025-10-22,319.0204441795968,214.86375476123555,423.177133597958
2025-10-23,319.0204441795968,213.99933120291593,424.04155715627763
2025-10-24,319.0204441795968,213.14196482175674,424.8989235374368
2025-10-27,319.0204441795968,212.29148554419945,425.74940281499414
2025-10-28,319.0204441795968,211.44773001999144,426.5931583392021
2025-10-29,319.0204441795968,210.61054125586958,427.430347103324
2025-10-30,319.0204441795968,209.7797682745121,428.26112008468147
2025-10-31,319.0204441795968,208.95526579666063,429.08562256253293
2025-11-03,319.0204441795968,208.13689394451748,429.90399441467605
2025-11-04,319.0204441795968,207.3245179647023,430.71637039449126
2025-11-05,319.0204441795968,206.51800796921532,431.52288038997824
2025-11-06,319.0204441795968,205.71723869299657,432.32364966619696
2025-11-07,319.0204441795968,204.92208926679996,433.1187990923936
2025-11-10,319.0204441795968,204.13244300421576,433.9084453549778
2025-11-11,319.0204441795968,203.34818720177972,434.6927011574138
2025-11-12,319.0204441795968,202.5692129511982,435.47167540799535
2025-11-13,319.0204441795968,201.79541496280476,436.2454733963888
2025-11-14,319.0204441795968,201.02669139943666,437.0141969597569
2025-11-17,319.0204441795968,200.2629437199907,437.7779446392029
2025-11-18,319.0204441795968,199.50407653197647,438.5368118272171
2025-11-19,319.0204441795968,198.7499974524438,439.2908909067497
2025-11-20,319.0204441795968,198.00061697670932,440.0402713824842
2025-11-21,319.0204441795968,197.25584835435478,440.7850400048388
2025-11-24,319.0204441795968,196.51560747201066,441.52528088718293
2025-11-25,319.0204441795968,195.77981274247642,442.2610756167171
2025-11-26,319.0204441795968,195.0483849997641,442.99250335942946
2025-11-27,319.0204441795968,194.3212473996827,443.71964095951085
2025-11-28,319.0204441795968,193.59832532561018,444.4425630335834
2025-12-01,319.0204441795968,192.8795462991261,445.16134206006745
2025-12-02,319.0204441795968,192.16483989520134,445.8760484639922
2025-12-03,319.0204441795968,191.454137661665,446.5867506975286
2025-12-04,319.0204441795968,190.74737304268697,447.2935153165066
2025-12-05,319.0204441795968,190.04448130603447,447.9964070531591
2025-12-08,319.0204441795968,189.3453994738774,448.6954888853162
2025-12-09,319.0204441795968,188.65006625693323,449.39082210226036
2025-12-10,319.0204441795968,187.95842199175658,450.08246636743695
2025-12-11,319.0204441795968,187.27040858099167,450.7704797782019
2025-12-12,319.0204441795968,186.58596943641854,451.45491892277505
2025-12-15,319.0204441795968,185.905049424635,452.1358389345586
2025-12-16,319.0204441795968,185.22759481522638,452.8132935439672
2025-12-17,319.0204441795968,184.553553231286,453.48733512790756
2025-12-18,319.0204441795968,183.8828736021563,454.1580147570372
2025-12-19,319.0204441795968,183.21550611827112,454.8253822409224
2025-12-22,319.0204441795968,182.55140218798502,455.48948617120857
2025-12-23,319.0204441795968,181.89051439628471,456.1503739629088
2025-12-24,319.0204441795968,181.23279646528283,456.8080918939107
2025-12-25,319.0204441795968,180.57820321640054,457.462685142793
2025-12-26,319.0204441795968,179.92669053415273,458.11419782504083
2025-12-29,319.0204441795968,179.27821533145195,458.7626730277416
2025-12-30,319.0204441795968,178.6327355163556,459.4081528428379
2025-12-31,319.0204441795968,177.99020996018243,460.05067839901113
2026-01-01,319.0204441795968,177.35059846693048,460.6902898922631
2026-01-02,319.0204441795968,176.71386174393265,461.32702661526093
2026-01-05,319.0204441795968,176.07996137368812,461.96092698550547
2026-01-06,319.0204441795968,175.44885978681359,462.59202857237995
2026-01-07,319.0204441795968,174.82052023605976,463.22036812313377
2026-01-08,319.0204441795968,174.1949067713425,463.84598158785104
2026-01-09,319.0204441795968,173.57198421574066,464.4689041434529
2026-01-12,319.0204441795968,172.95171814241505,465.0891702167785
2026-01-13,319.0204441795968,172.33407485240588,465.7068135067877
2026-01-14,319.0204441795968,171.71902135326815,466.3218670059254
2026-01-15,319.0204441795968,171.1065253385065,466.9343630206871
2026-01-16,319.0204441795968,170.49655516777335,467.5443331914202
2026-01-19,319.0204441795968,169.8890798477962,468.15180851139735
2026-01-20,319.0204441795968,169.28406901400103,468.7568193451925
2026-01-21,319.0204441795968,168.68149291280153,469.359395446392
2026-01-22,319.0204441795968,168.08132238452458,469.959565974669
2026-01-23,319.0204441795968,167.48352884694447,470.5573595122491
2026-01-26,319.0204441795968,166.88808427939927,471.1528040797943
2026-01-27,319.0204441795968,166.2949612074646,471.74592715172895
2026-01-28,319.0204441795968,165.70413268816145,472.3367556710321
2026-01-29,319.0204441795968,165.1155722956742,472.92531606351935
2026-01-30,319.0204441795968,164.5292541075593,473.5116342516343
2026-02-02,319.0204441795968,163.94515269142252,474.095735667771
2026-02-03,319.0204441795968,163.36324309204667,474.6776452671469
2026-02-04,319.0204441795968,162.78350081895044,475.25738754024314
2026-02-05,319.0204441795968,162.20590183436144,475.8349865248321
2026-02-06,319.0204441795968,161.6304225415863,476.41046581760725
2026-02-09,319.0204441795968,161.0570397737623,476.98384858543125
2026-02-10,319.0204441795968,160.48573078297503,477.55515757621856
2026-02-11,319.0204441795968,159.91647322972764,478.1244151294659
2026-02-12,319.0204441795968,159.34924517274834,478.6916431864452
2026-02-13,319.0204441795968,158.7840250591222,479.25686330007136
2026-02-16,319.0204441795968,158.22079171473544,479.8200966444581
2026-02-17,319.0204441795968,157.65952433501982,480.38136402417376
2026-02-18,319.0204441795968,157.10020247598587,480.9406858832077
2026-02-19,319.0204441795968,156.54280604553358,481.49808231366
2026-02-20,319.0204441795968,155.98731529503118,482.0535730641624
2026-02-23,319.0204441795968,155.43371081115038,482.6071775480432
2026-02-24,319.0204441795968,154.88197350795022,483.15891485124337
2026-02-25,319.0204441795968,154.3320846191993,483.70880373999427
2026-02-26,319.0204441795968,153.78402569092773,484.25686266826585
2026-02-27,319.0204441795968,153.23777857420134,484.8031097849922
2026-03-02,319.0204441795968,152.69332541810869,485.3475629410849
2026-03-03,319.0204441795968,152.15064866295464,485.89023969623895
2026-03-04,319.0204441795968,151.60973103365214,486.43115732554145
2026-03-05,319.0204441795968,151.07055553330576,486.9703328258878
2026-03-06,319.0204441795968,150.5331054369798,487.5077829222138
2026-03-09,319.0204441795968,149.99736428564518,488.0435240735484
2026-03-10,319.0204441795968,149.46331588029778,488.5775724788958
2026-03-11,319.0204441795968,148.9309442762437,489.1099440829498
2026-03-12,319.0204441795968,148.40023377754463,489.64065458164896
2026-03-13,319.0204441795968,147.87116893161817,490.1697194275754
2026-03-16,319.0204441795968,147.3437345239882,490.69715383520537
2026-03-17,319.0204441795968,146.8179155731796,491.222972786014
2026-03-18,319.0204441795968,146.29369732575327,491.7471910334403
2026-03-19,319.0204441795968,145.77106525147613,492.26982310771746
2026-03-20,319.0204441795968,145.2500050386217,492.7908833205719
2026-03-23,319.0204441795968,144.7305025893974,493.3103857697962
2026-03-24,319.0204441795968,144.21254401549402,493.82834434369954
2026-03-25,319.0204441795968,143.69611563375372,494.34477272543984
2026-03-26,319.0204441795968,143.1812039619522,494.8596843972414
2026-03-27,319.0204441795968,142.66779571469192,495.37309264450164
2026-03-30,319.0204441795968,142.1558777994026,495.885010559791
2026-03-31,319.0204441795968,141.64543731244567,496.3954510467479
2026-04-01,319.0204441795968,141.13646153531906,496.9044268238745
2026-04-02,319.0204441795968,140.62893793095975,497.4119504282338
2026-04-03,319.0204441795968,140.12285414014067,497.91803421905286
2026-04-06,319.0204441795968,139.61819797795889,498.4226903812347
2026-04-07,319.0204441795968,139.11495743041257,498.925930928781
2026-04-08,319.0204441795968,138.61312065106404,499.4277677081295
2026-04-09,319.0204441795968,138.1126759577858,499.9282124014078
2026-04-10,319.0204441795968,137.61361182958774,500.4272765296058
2026-04-13,319.0204441795968,137.11591690352242,500.92497145567114
2026-04-14,319.0204441795968,136.61957997166633,501.42130838752723
2026-04-15,319.0204441795968,136.12458997817515,501.9162983810184
2026-04-16,319.0204441795968,135.63093601641023,502.4099523427833
2026-04-17,319.0204441795968,135.13860732613463,502.9022810330589
2026-04-20,319.0204441795968,134.64759329077674,503.3932950684168
2026-04-21,319.0204441795968,134.15788343475893,503.88300492443466
2026-04-22,319.0204441795968,133.66946742089,504.3714209383036
2026-04-23,319.0204441795968,133.18233504781924,504.8585533113743
2026-04-24,319.0204441795968,132.69647624755035,505.34441211164324
2026-04-27,319.0204441795968,132.2118810830137,505.8290072761798
2026-04-28,319.0204441795968,131.72853974569486,506.31234861349867
2026-04-29,319.0204441795968,131.24644255331825,506.7944458058753
2026-04-30,319.0204441795968,130.76557994758429,507.2753084116093
2026-05-01,319.0204441795968,130.2859424919582,507.7549458672354
2026-05-04,319.0204441795968,129.8075208695093,508.23336748968427
2026-05-05,319.0204441795968,129.33030588079947,508.7105824783941
2026-05-06,319.0204441795968,128.85428844181928,509.1865999173743
2026-05-07,319.0204441795968,128.37945958197037,509.6614287772232
2026-05-08,319.0204441795968,127.90581044209296,510.1350779171006
2026-05-11,319.0204441795968,127.43333227253757,510.607556086656
2026-05-12,319.0204441795968,126.96201643127893,511.07887192791463
2026-05-13,319.0204441795968,126.49185438207184,511.5490339771217
2026-05-14,319.0204441795968,126.02283769264724,512.0180506665463
2026-05-15,319.0204441795968,125.55495803294781,512.4859303262458
2026-05-18,319.0204441795968,125.08820717340171,512.9526811857918
2026-05-19,319.0204441795968,124.6225769832337,513.4183113759599
2026-05-20,319.0204441795968,124.15805942881269,513.8828289303808
2026-05-21,319.0204441795968,123.69464657203443,514.3462417871591
2026-05-22,319.0204441795968,123.23233056873886,514.8085577904546
2026-05-25,319.0204441795968,122.7711036671609,515.2697846920327
2026-05-26,319.0204441795968,122.31095820641397,515.7299301527796
2026-05-27,319.0204441795968,121.85188661500536,516.1890017441882
2026-05-28,319.0204441795968,121.39388140938263,516.6470069498109
2026-05-29,319.0204441795968,120.93693519251022,517.1039531666834
2026-06-01,319.0204441795968,120.48104065247577,517.5598477067178
2026-06-02,319.0204441795968,120.02619056112471,518.0146977980688
2026-06-03,319.0204441795968,119.57237777272337,518.4685105864702
2026-06-04,319.0204441795968,119.11959522264917,518.9212931365444
2026-06-05,319.0204441795968,118.66783592610741,519.3730524330862
2026-06-08,319.0204441795968,118.21709297687414,519.8237953823194
2026-06-09,319.0204441795968,117.76735954606434,520.2735288131292
2026-06-10,319.0204441795968,117.31862888092485,520.7222594782687
2026-06-11,319.0204441795968,116.87089430365128,521.1699940555422
2026-06-12,319.0204441795968,116.42414921022879,521.6167391489648
2026-06-15,319.0204441795968,115.9783870692952,522.0625012898984
2026-06-16,319.0204441795968,115.53360142102736,522.5072869381662
2026-06-17,319.0204441795968,115.0897858760485,522.9511024831451
2026-06-18,319.0204441795968,114.64693411435775,523.3939542448359
2026-06-19,319.0204441795968,114.20503988427981,523.8358484749137
2026-06-22,319.0204441795968,113.76409700143532,524.2767913577583
2026-06-23,319.0204441795968,113.32409934773122,524.7167890114623
2026-06-24,319.0204441795968,112.88504087037009,525.1558474888235
2026-06-25,319.0204441795968,112.44691558087882,525.5939727783148
2026-06-26,319.0204441795968,112.0097175541556,526.031170805038
2026-06-29,319.0204441795968,111.57344092753499,526.4674474316586
2026-06-30,319.0204441795968,111.13807989987069,526.9028084593228
2026-07-01,319.0204441795968,110.70362873063564,527.337259628558
2026-07-02,319.0204441795968,110.27008173903877,527.7708066201548
2026-07-03,319.0204441795968,109.8374333031584,528.2034550560352
2026-07-06,319.0204441795968,109.40567785909175,528.6352105001018
2026-07-07,319.0204441795968,108.97480990012,529.0660784590735
2026-07-08,319.0204441795968,108.54482397588882,529.4960643833048
2026-07-09,319.0204441795968,108.11571469160424,529.9251736675893
2026-07-10,319.0204441795968,107.68747670724258,530.353411651951
2026-07-13,319.0204441795968,107.26010473677545,530.7807836224181
2026-07-14,319.0204441795968,106.83359354740819,531.2072948117853
2026-07-15,319.0204441795968,106.40793795883255,531.632950400361
2026-07-16,319.0204441795968,105.9831328424925,532.057755516701
2026-07-17,319.0204441795968,105.55917312086328,532.4817152383303
